Account	Block	Ccy	#	Amount	Ethers	Tokens
0x4d840c607c3c6544e509c4bc23363b01416055f8	3638466	ETH	1	750	750	112500
0xac23c61bb84cd8691eee200717b15f3b9a66d263	3638466	ETH	2	48	48	7200
0x6319f3563897f889b0a6ca45c9be588696215a16	3638466	ETH	3	40	40	6000
0x0fe627c2fa0de3cf2f3ccc31c6a045003347480f	3638466	ETH	4	3000	3000	560399.99999999
0xf3f24e3c68bf5f0bd4d7f7c0acf35a51197983c1	3638466	ETH	5	3.08736968	3.08736968	463.105452
0x29f91bda9024f793ed720c0f19505f29ce3c05bb	3638466	ETH	6	2.000002591943359346	2.000002591943359346	300.00038879
0xdf811bc985de38659c92570efe3cc63c3162af39	3638466	ETH	7	31	31	4650
0x5d82e6cf79b6d9c0f4e5a719d55ca8f983f9a557	3638466	ETH	8	10	10	1500
0x98d5f2d180a811e1ef17a2b3d501242d0a714ee7	3638466	ETH	9	0.356775	0.356775	53.51625
0xd4f9269a567cfded3b6b7cfc3ae2f894fadcf72f	3638466	ETH	10	10	10	1500
0x0bc0078b4767ffc4cab1dc9808967dca21876585	3638466	ETH	11	40	40	6000
0x2e2f2b688ec2fcb48742df66f436c5ec5aa425b3	3638466	ETH	12	50	50	7500
0xd131f6c3957d70a74cb28737528cb609c45ee509	3638467	ETH	13	112.14445	112.14445	16821.6675
0x2351c5550139e7d6acfff75de700ba9cc414707a	3638467	ETH	14	70	70	10500
0x48640126abdef6682ad0637024f814e3e40196b1	3638467	ETH	15	22	22	3300
0x7ce4a15b0241860e2d98cef1e87fb51f8962e5eb	3638467	ETH	16	14.076	14.076	2111.4
0x454f2f38eade8d8ee9933036907012834e0aec53	3638467	ETH	17	2	2	300
0x095f327fe759bb73978163f7b4d625691a87a65a	3638468	ETH	18	409	409	61350
0x18dd57e638239c4bf6c6bcfae92a063f5bc4267f	3638468	ETH	19	2006	2006	300900
0x69bbc6c9ddce06e083dff87d405dfbd745264f51	3638468	ETH	20	30	30	4500
0x1fa0374cd277fcd50a2287628ab52cc4e15a0bc4	3638468	ETH	21	100	100	15000
0xc28e5bd6171a55c7a9d1630c7f40f86767772560	3638468	ETH	22	0.8	0.8	120
0x5bc265b7bf2938f004cf5b9dbabb0e27813697eb	3638468	ETH	23	100	100	15000
0x1d3c6343318e4db1cff6503e502ef406bfebe9f4	3638468	ETH	24	10	10	1500
0x1fb6fb61b90f06d2553b7eff422761bffa3937f8	3638468	ETH	25	3	3	3821.57333332
0x9b57b141d0ecbdf7dcd36902b8fc0ce79ddb175f	3638468	ETH	26	600	600	90000
0xdfd53961596205b8301535c5acf9f36f59586d60	3638468	ETH	27	2	2	300
0x7b93221b0421045824ec9949a17267d77360c71e	3638468	ETH	28	40	40	6000
0xdd2300e8244ac0e4184dcbd7e254a12c47ef5cf9	3638468	ETH	29	300	300	45000
0x67bd2e99b50b80a42d8870c72fd3bb16492ec4bc	3638468	ETH	30	20	20	3000
0x188f94a39c593047a705bc7049fb3f16f240a0fe	3638468	ETH	31	231	231	34650
0x4ef3a16ff7882cd16104162d6b4e221bc697012a	3638468	ETH	32	14	14	2100
0xd03f8e8d739fdd6661c682e0736d31de578dc94c	3638468	ETH	33	83	83	12450
0x7006e83f868f1ff893053c100a5cfb39ef586002	3638468	ETH	34	15300	15300	2295000
0x66e369a3a9c3678e3e4d05ef6a9886181c9a2c5b	3638468	ETH	35	150	150	19500
0x9a26b15ede82cf5419c64a7eaeb75b6141c7c2a7	3638468	ETH	36	20	20	2600
0xd9459cc85e78e0336adb349eabf257dbaf9d5a2b	3638468	ETH	37	100	100	13000
0x8fa0898f7f62f57b3671f176fbe6dc457c625f1c	3638468	ETH	38	84	84	10920
0xa85864d43e4cd0d362d14be7680461811ca9b321	3638468	ETH	39	20	20	2600
0x98d0be96ea8d17743a0bd2ffc1e72e5e35287fcc	3638468	ETH	40	50	50	6500
0xffc13ae907511ed5cdbc336d748af661b92b6af0	3638468	ETH	41	39.5	39.5	5135
0x69893a8dbf7234d944b75f271e0fe22a2dd3adfa	3638468	ETH	42	375	375	48750
0xb175e4b5458f125a6e96f0a146f20da656be5e88	3638469	ETH	43	1050	1050	136500
0x09704f6e7fd761722724090580491e3218fd677a	3638469	ETH	44	699	699	90870
0x5e9a69b8656914965d69d8da49c3709f0bf2b5ef	3638469	ETH	45	50	50	6500
0xf2b869a5dab5b32602090cf9e443f5d19c080635	3638469	ETH	46	30	30	5900
0x6777a65180fa2bee49aea67d3592f07caa8b7757	3638469	ETH	47	30	30	3900
0x19742f30dcb179a03304ac8b23e58f168be69d1c	3638469	ETH	48	5	5	1150
0x28cd36b7b86b3d6a8d53f0332fc3563489aee858	3638469	ETH	49	7	7	910
0x98ab52e249646ca2b013af8f2e411bb90c1c9b4d	3638469	ETH	50	322.11112912	322.11112912	41874.4467856
0xe10c540088113fa6ec00b4b2c8824f8796e96ec4	3638469	ETH	51	1000	1000	1301872
0x6df24f6685a62f791ba337bf3ff67e91f3d4bc3a	3638469	ETH	52	75	75	9750
0xdf3fff1b9c9e8fcf6a37e84c9218490689236f65	3638469	ETH	53	6	6	780
0x6a83dce6147fa16273678c712421e0b09d89bbff	3638469	ETH	54	200	200	26000
0x06fd988fd0c8ad705f70ca117922d3009cd0224c	3638469	ETH	55	2.187640963	2.187640963	284.39332519
0x2d0efca5e73e90c7707931678dfaef38c068ac10	3638469	ETH	56	2283	2283	296790
0xf8a12fdc1ea9f4c0a850fb59907a73c28960fb28	3638469	ETH	57	0.33	0.33	39.6
0xe207d0ade12c69ba9616bad8cd404733103a3c0e	3638469	ETH	58	20.11	20.11	2413.2
0xab08013e542aaab36fbd0caaf9455c730fbfc138	3638469	ETH	59	6	6	720
0x848d4791016ba03801a7938647e919c8b5d6dcbd	3638469	ETH	60	5	5	600
0xc6b1e0517995a96a9275cd305257c78a0efe3320	3638469	ETH	61	23	23	2760
0x06eb39d64c4386f286309ed96509b88aa8fab525	3638469	ETH	62	150	150	18000
0x8ad88087765f5e7d87350c31c4782d23dd96eb8a	3638469	ETH	63	7	7	840
0xf2cb9f99e5332449631370920844a97f2ac8ad80	3638469	ETH	64	6	6	720
0xfab697ab7b92b3ec378a6a328c47d6581e4538d3	3638469	ETH	65	10	10	1200
0xc066eceb62a3ea34b823b2feb7aa9c7e5783761e	3638469	ETH	66	30	30	3600
0x469d436eb729218446db5dd8cd732c135c527fe4	3638469	ETH	67	1000	1000	120000
0xe511309831f9eb7bc11b78b6cd30153c631b720c	3638470	ETH	68	5	5	801.40352658
