Account	Block	TxIndex	Ccy	#	Refund	Tx
0x5b878ba97bae92fc0aa6133edbf2f58d52350d65	3649580	11	AMIS	131	1000	0xe6d7b5afe1dd7db7d7e36745a9ad9b27dbd891319d44f7024d0ca68965bce80c
0x00fe94475832227c0e40d3c2a4599d24e53d3819	3638465	1	DGD	3	36.46360888	0xb62fc237ca4c1cfb26d4320f47f1d381301490f8be3b3995b8096fcc033475b6
0x3f393c413a8550efe98a5568b597659b6c2cdda9	3638578	3	DGD	5	7.312	0x0501469e1526822a55b07d7a0755139e2d4a5947cd8efc131d6875f5a02287aa
0xff723447d3a4da1bc4bfd6ee7ee112dc6bf1dd08	3638592	12	DGD	15	4	0x32bed15432336bf8f0ebaf6c4e33e05ac2682d0d2796725e579e2ea160351450
0x617057bf5415d81fe19f8ef2cbbe4a9ee4c46da9	3638592	22	DGD	16	4.96	0x4bd65bb72a6bc523065d295a197b311d33d1b6de04fe9fa1a1e5170cf99d7f2a
0x0d5f8e096816b4d290be9a962eef8692f2e5ea14	3638596	42	DGD	23	100	0xf5d5d774880408c90113ac6163b0adffd24af23dd6f528beaf51c4bfef6c6b8b
0x0ac59f089ec683e1a0af839c34fe20e3c7eb29e9	3638597	32	DGD	26	536.8545333	0xfde9ed0c11b94822001d84f33961b76bd9f963e47e935bdb9a1d5200be343e24
0x15dedd9133da5b0d01e93cb897b466a714902f75	3638606	14	DGD	27	3	0x891f3736db9245df47b6a8031ffabe2ed68fbb32bfb1c7b891c54c6a6987303c
0xa86d9d90963728a79b5dbc0b344fe6eac64f6d60	3638606	17	DGD	28	1.455481	0x9ab2ea65ca3bcbc48f05b52b0d66c71d9309360335e4a3fa5dbffb4ecaf1621f
0x8bf97c47f4e8e95e3220d75f3438ec7b54f002d7	3638613	18	DGD	34	0.86864	0x11f5bd5aa6d2980179f328b766eb7b8977aae6d69b81a2fe4dc499d7e4f0443f
0x9fdd51b3ab2cc2ba62ca4ec5238a6a14cf381c71	3638616	28	DGD	38	1	0x6b746f55b06d6fb44d6b8e382f565b0e4d661d26729997cf897ad74cf6505d94
0xe424ebbecc3a948d17900b5e7b8797afe35de70a	3638618	15	DGD	40	0.5	0x54d3fe0fd2d0d44d6206232f7feb6252cefd61d244302030be8915fcb54a6f96
0x218a4261e5ef6c9e690fc2c36596cbf2834237ab	3638621	33	DGD	44	9.998	0x843bcc717f55e318e81855217925a02bdc1b3b6c49b4b08397700367591b411e
0x474b8520e345d145d751cef4b8e909ff278a9d06	3638623	66	DGD	52	41.998	0xc48aa405e2eacd5e881ce30e1cd8b5df68de2bbd9222e7feaf5710d157ade499
0x986b092bc30efb3f7d05eca2a22ae52550698d5f	3638625	16	DGD	54	40	0x8521c2c8a86d4ab5a0db4452f498b34e4a811ae328885db971d0a5687410d46f
